DATE,INTEREST,UNEMPLOYMENT,INFLATION
1954-07-01,0.8,5.8,
1954-08-01,1.22,6.0,
1954-09-01,1.06,6.1,
1954-10-01,0.85,5.7,
1954-11-01,0.83,5.3,
1954-12-01,1.28,5.0,
1955-01-01,1.39,4.9,
1955-02-01,1.29,4.7,
1955-03-01,1.35,4.6,
1955-04-01,1.43,4.7,
1955-05-01,1.43,4.3,
1955-06-01,1.64,4.2,
1955-07-01,1.68,4.0,
1955-08-01,1.96,4.2,
1955-09-01,2.18,4.1,
1955-10-01,2.24,4.3,
1955-11-01,2.35,4.2,
1955-12-01,2.48,4.2,
1956-01-01,2.45,4.0,
1956-02-01,2.5,3.9,
1956-03-01,2.5,4.2,
1956-04-01,2.62,4.0,
1956-05-01,2.75,4.3,
1956-06-01,2.71,4.3,
1956-07-01,2.75,4.4,
1956-08-01,2.73,4.1,
1956-09-01,2.95,3.9,
1956-10-01,2.96,3.9,
1956-11-01,2.88,4.3,
1956-12-01,2.94,4.2,
1957-01-01,2.84,4.2,
1957-02-01,3.0,3.9,
1957-03-01,2.96,3.7,
1957-04-01,3.0,3.9,
1957-05-01,3.0,4.1,
1957-06-01,3.0,4.3,
1957-07-01,2.99,4.2,
1957-08-01,3.24,4.1,
1957-09-01,3.47,4.4,
1957-10-01,3.5,4.5,
1957-11-01,3.28,5.1,
1957-12-01,2.98,5.2,
1958-01-01,2.72,5.8,3.2
1958-02-01,1.67,6.4,3.2
1958-03-01,1.2,6.7,2.8
1958-04-01,1.26,7.4,2.4
1958-05-01,0.63,7.4,2.4
1958-06-01,0.93,7.3,2.1
1958-07-01,0.68,7.5,2.4
1958-08-01,1.53,7.4,2.1
1958-09-01,1.76,7.1,1.7
1958-10-01,1.8,6.7,1.7
1958-11-01,2.27,6.2,1.7
1958-12-01,2.42,6.2,1.7
1959-01-01,2.48,6.0,1.7
1959-02-01,2.43,5.9,1.7
1959-03-01,2.8,5.6,1.7
1959-04-01,2.96,5.2,1.7
1959-05-01,2.9,5.1,2.0
1959-06-01,3.39,5.0,2.0
1959-07-01,3.47,5.1,2.0
1959-08-01,3.5,5.2,2.0
1959-09-01,3.76,5.5,2.4
1959-10-01,3.98,5.7,2.7
1959-11-01,4.0,5.8,2.0
1959-12-01,3.99,5.3,2.0
1960-01-01,3.99,5.2,2.0
1960-02-01,3.97,4.8,2.3
1960-03-01,3.84,5.4,2.0
1960-04-01,3.92,5.2,2.0
1960-05-01,3.85,5.1,1.7
1960-06-01,3.32,5.4,1.7
1960-07-01,3.23,5.5,1.3
1960-08-01,2.98,5.6,1.3
1960-09-01,2.6,5.5,1.0
1960-10-01,2.47,6.1,1.0
1960-11-01,2.44,6.1,1.0
1960-12-01,1.98,6.6,1.0
1961-01-01,1.45,6.6,1.0
1961-02-01,2.54,6.9,0.7
1961-03-01,2.02,6.9,0.7
1961-04-01,1.49,7.0,1.0
1961-05-01,1.98,7.1,1.0
1961-06-01,1.73,6.9,1.0
1961-07-01,1.17,7.0,1.3
1961-08-01,2.0,6.6,1.3
1961-09-01,1.88,6.7,1.6
1961-10-01,2.26,6.5,1.3
1961-11-01,2.61,6.1,1.3
1961-12-01,2.33,6.0,1.3
1962-01-01,2.15,5.8,1.3
1962-02-01,2.37,5.5,1.3
1962-03-01,2.85,5.6,1.6
1962-04-01,2.78,5.6,1.3
1962-05-01,2.36,5.5,1.6
1962-06-01,2.68,5.5,1.6
1962-07-01,2.71,5.4,1.3
1962-08-01,2.93,5.7,1.3
1962-09-01,2.9,5.6,1.3
1962-10-01,2.9,5.4,1.3
1962-11-01,2.94,5.7,1.3
1962-12-01,2.93,5.5,1.3
1963-01-01,2.92,5.7,1.0
1963-02-01,3.0,5.9,1.0
1963-03-01,2.98,5.7,1.0
1963-04-01,2.9,5.7,1.3
1963-05-01,3.0,5.9,1.0
1963-06-01,2.99,5.6,1.3
1963-07-01,3.02,5.6,1.3
1963-08-01,3.49,5.4,1.6
1963-09-01,3.48,5.5,1.3
1963-10-01,3.5,5.5,1.3
1963-11-01,3.48,5.7,1.6
1963-12-01,3.38,5.5,1.6
1964-01-01,3.48,5.6,1.9
1964-02-01,3.48,5.4,1.9
1964-03-01,3.43,5.4,1.9
1964-04-01,3.47,5.3,1.6
1964-05-01,3.5,5.1,1.6
1964-06-01,3.5,5.2,1.6
1964-07-01,3.42,4.9,1.6
1964-08-01,3.5,5.0,0.9
1964-09-01,3.45,5.1,1.3
1964-10-01,3.36,5.1,1.3
1964-11-01,3.52,4.8,1.2
1964-12-01,3.85,5.0,1.2
1965-01-01,3.9,4.9,1.6
1965-02-01,3.98,5.1,1.6
1965-03-01,4.04,4.7,1.2
1965-04-01,4.09,4.8,1.6
1965-05-01,4.1,4.6,1.6
1965-06-01,4.04,4.6,1.2
1965-07-01,4.09,4.4,1.2
1965-08-01,4.12,4.4,1.6
1965-09-01,4.01,4.3,1.5
1965-10-01,4.08,4.2,1.5
1965-11-01,4.1,4.1,1.2
1965-12-01,4.32,4.0,1.5
1966-01-01,4.42,4.0,0.9
1966-02-01,4.6,3.8,1.2
1966-03-01,4.65,3.8,1.5
1966-04-01,4.67,3.8,1.8
1966-05-01,4.9,3.9,2.1
1966-06-01,5.17,3.8,2.4
1966-07-01,5.3,3.8,2.8
1966-08-01,5.53,3.8,3.1
1966-09-01,5.4,3.7,3.0
1966-10-01,5.53,3.7,3.3
1966-11-01,5.76,3.6,3.6
1966-12-01,5.4,3.8,3.3
1967-01-01,4.94,3.9,3.6
1967-02-01,5.0,3.8,3.6
1967-03-01,4.53,3.8,3.6
1967-04-01,4.05,3.8,3.3
