DATE,INTEREST,UNEMPLOYMENT,INFLATION,MORTGAGE
1971-04-01,4.15,5.9,5.0,7.31
1971-05-01,4.63,5.9,5.2,7.425000000000002
1971-06-01,4.91,5.9,4.9,7.5299999999999985
1971-07-01,5.31,6.0,4.9,7.603999999999999
1971-08-01,5.56,6.1,4.6,7.697500000000002
1971-09-01,5.55,6.0,4.4,7.6875
1971-10-01,5.2,5.8,3.8,7.627999999999999
1971-11-01,4.91,6.0,3.3,7.549999999999999
1971-12-01,4.14,6.0,3.1,7.480000000000001
1972-01-01,3.5,5.8,3.1,7.4375
1972-02-01,3.29,5.7,3.3,7.324999999999998
1972-03-01,3.83,5.8,3.3,7.297999999999999
1972-04-01,4.17,5.7,3.3,7.289999999999999
1972-05-01,4.27,5.7,3.1,7.3725
1972-06-01,4.46,5.7,2.8,7.372000000000001
1972-07-01,4.55,5.6,2.8,7.395
1972-08-01,4.8,5.6,3.3,7.4
1972-09-01,4.87,5.5,2.8,7.419999999999999
1972-10-01,5.04,5.6,3.0,7.42
1972-11-01,5.06,5.3,3.0,7.4275
1972-12-01,5.33,5.2,3.0,7.442
1973-01-01,5.94,4.9,2.8,7.4375
1973-02-01,6.58,5.0,2.8,7.439999999999999
1973-03-01,7.09,4.9,3.0,7.457999999999999
1973-04-01,7.12,5.0,3.2,7.542499999999999
1973-05-01,7.84,4.9,3.2,7.6525
1973-06-01,8.49,4.9,3.2,7.734
1973-07-01,10.4,4.8,3.2,8.049999999999999
1973-08-01,10.5,4.8,3.2,8.496
1973-09-01,10.78,4.8,3.8,8.815
1973-10-01,10.01,4.6,4.3,8.77
1973-11-01,10.03,4.8,4.5,8.581999999999999
1973-12-01,9.95,4.9,4.7,8.5375
1974-01-01,9.65,5.1,4.9,8.54
1974-02-01,8.97,5.2,5.4,8.455
1974-03-01,9.35,5.1,5.8,8.406
1974-04-01,10.51,5.1,6.2,8.5825
1974-05-01,11.31,5.1,6.8,8.972000000000001
1974-06-01,11.93,5.4,7.9,9.085
1974-07-01,12.92,5.5,8.8,9.28
1974-08-01,12.01,5.5,9.6,9.586
1974-09-01,11.34,5.9,10.2,9.9575
1974-10-01,10.06,6.0,10.6,9.9775
1974-11-01,9.45,6.6,11.2,9.788
1974-12-01,8.53,7.2,11.1,9.615
1975-01-01,7.13,8.1,11.5,9.432
1975-02-01,6.24,8.1,11.7,9.105
1975-03-01,5.54,8.6,11.4,8.9025
1975-04-01,5.49,8.8,11.3,8.82
1975-05-01,5.22,9.0,10.5,8.906
1975-06-01,5.55,8.8,9.6,8.8925
1975-07-01,6.1,8.6,9.1,8.89
1975-08-01,6.14,8.4,8.2,8.941999999999998
1975-09-01,6.24,8.4,7.7,9.13
1975-10-01,5.82,8.4,7.0,9.224
1975-11-01,5.22,8.3,6.8,9.145
1975-12-01,5.2,8.2,6.7,9.0975
1976-01-01,4.87,7.9,6.7,9.016
1976-02-01,4.77,7.7,6.5,8.8125
1976-03-01,4.84,7.6,6.6,8.754999999999999
1976-04-01,4.82,7.7,6.4,8.73
1976-05-01,5.29,7.4,6.5,8.765
1976-06-01,5.48,7.6,6.5,8.8475
1976-07-01,5.31,7.8,6.7,8.934000000000003
1976-08-01,5.29,7.8,6.8,9.0
1976-09-01,5.25,7.6,6.8,8.9775
1976-10-01,5.02,7.7,6.7,8.93
1976-11-01,4.95,7.8,6.5,8.8125
1976-12-01,4.65,7.8,6.1,8.792
1977-01-01,4.61,7.5,6.3,8.7225
1977-02-01,4.68,7.6,6.3,8.67
1977-03-01,4.69,7.4,6.2,8.6875
1977-04-01,4.73,7.2,6.3,8.751999999999999
1977-05-01,5.35,7.0,6.3,8.8275
1977-06-01,5.39,7.2,6.6,8.8575
1977-07-01,5.42,6.9,6.3,8.942
1977-08-01,5.9,7.0,6.2,8.94
1977-09-01,6.14,6.8,6.2,8.895999999999997
1977-10-01,6.47,6.8,6.0,8.9225
1977-11-01,6.51,6.8,5.9,8.9225
1977-12-01,6.56,6.4,6.5,8.959999999999997
1978-01-01,6.7,6.4,6.4,9.015
1978-02-01,6.78,6.3,6.2,9.145
1978-03-01,6.79,6.3,6.3,9.202000000000002
1978-04-01,6.89,6.1,6.5,9.355
1978-05-01,7.36,6.0,6.8,9.5725
1978-06-01,7.6,5.9,7.0,9.708000000000002
1978-07-01,7.81,6.2,7.4,9.74
1978-08-01,8.04,5.9,7.5,9.785
1978-09-01,8.45,6.0,7.9,9.756
1978-10-01,8.96,5.8,8.4,9.8575
1978-11-01,9.76,5.9,8.7,10.1075
1978-12-01,10.03,6.0,8.5,10.345999999999998
1979-01-01,10.07,5.9,8.6,10.39
1979-02-01,10.06,5.9,9.2,10.4075
1979-03-01,10.09,5.8,9.3,10.425999999999998
1979-04-01,10.01,5.8,9.3,10.4975
1979-05-01,10.24,5.6,9.4,10.69
1979-06-01,10.29,5.7,9.3,11.036
1979-07-01,10.47,5.7,9.6,11.0925
1979-08-01,10.94,6.0,10.0,11.094
1979-09-01,11.43,5.9,9.9,11.3
1979-10-01,13.77,6.0,10.1,11.6375
1979-11-01,13.18,5.9,10.6,12.830000000000002
1979-12-01,13.78,6.0,11.3,12.9
1980-01-01,13.82,6.3,12.0,12.8775
1980-02-01,14.13,6.3,12.0,13.04
1980-03-01,17.19,6.3,12.5,15.2825
1980-04-01,17.61,6.9,13.0,16.325000000000006
1980-05-01,10.98,7.5,13.3,14.262
1980-06-01,9.47,7.6,13.6,12.71
1980-07-01,9.03,7.8,12.4,12.1925
1980-08-01,9.61,7.7,11.8,12.56
1980-09-01,10.87,7.5,12.0,13.1975
1980-10-01,12.81,7.5,12.3,13.792000000000002
1980-11-01,15.85,7.5,12.1,14.205
1980-12-01,18.9,7.2,12.2,14.79
1981-01-01,19.08,7.5,11.4,14.904000000000002
1981-02-01,15.93,7.4,10.9,15.1325
1981-03-01,14.7,7.4,10.0,15.4
1981-04-01,15.72,7.2,9.5,15.579999999999998
1981-05-01,18.52,7.5,9.5,16.401999999999994
1981-06-01,19.1,7.5,9.4,16.695
1981-07-01,19.04,7.2,11.1,16.832
