APN,MINORITY_OWNED,FEMALE_OWNED,RECORDID,BUSDESC,B1_PER_SUB_TYPE,DBA,NAICS,TAX_CODE,EMPLOYEE_NUM,BUS_OWN_TYPE,B1_STATE,B1_FULL_ADDRESS,B1_SITUS_STATE
ZZZZZZZZZZZZZ,Yes,No,BL-000058,PLUMBING CONTRACTOR,Construction or Contractor,BAY PLUMBING & ROOTER,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,0.0,Sole Ownership,CA,0 VARIOUS,CA
,,,BL-009497,OUT CALL MASSAGE SERVICES,Massage,WILSON ROBIN A,812199 - Other Personal Care Services,BM,1.0,Sole Ownership,CA,0 VARIOUS,CA
,,,BL-004830,CONSTRUCTION,Construction or Contractor,VANIR CONSTRUCTORS LLC,236118 - Residential Remodelers,C,0.0,LLC,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-012442,GENERAL CONTRACTOR,Construction or Contractor,FLOW BUILDER,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,0.0,Sole Ownership,CA,0 VARIOUS,CA
,No,No,BL-003956,REPAIR & SELL OFFICE MACHINES,Business Personal Repair Svs,NUANCE COMMUNICATIONS,811212 - Computer and Office Machine Repair and Maintenance,B,0.0,Corporation,MA,0   VARIOUS,CA
ZZZZZZZZZZZZZ,Yes,Yes,BL-038334,CPR/FIRST AID TRAINING & SUPPLIES,Professional SemiProfessional,ICE SAFETY SOLUTIONS,611699 - All Other Miscellaneous Schools and Instruction,P,9.0,Corporation,CA,0   VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-006898,REMODEL,Construction or Contractor,MOK 5 & ASSOCIATES BUILDER,236118 - Residential Remodelers,C,1.0,Corporation,CA,0 VARIOUS,CA
,No,No,BL-014192,PHOTO ENGRAVING,Manufacturing,WESTERN ROTO ENGRAVERS,323122,M,4.0,Corporation,CA,1225   SIXTH ST,CA
ZZZZZZZZZZZZZ,,,BL-008052,HOME REMODEL,Construction or Contractor,JOE GENERAL CONSTRUCTION,236118 - Residential Remodelers,C,0.0,Sole Ownership,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-007753,RETAIL IMPORT CLOTHING,Retail Trade,TORO SF CLOTHING,448190 - Other Clothing Stores,R,1.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-007750,CONSTRUCTION,Construction or Contractor,AMC BUILDERS INC,236118 - Residential Remodelers,C,1.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-046322,GENERAL CONTRACTOR,Construction or Contractor,CHORAK ROBERT II,236118 - Residential Remodelers,C,0.0,Sole Ownership,CA,0   VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-044294,GENERAL CONTRACTOR,Construction or Contractor,EZRA CONSTRUCTION,236118 - Residential Remodelers,C,13.0,Corporation,CA,0   VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-012581,CHEMICAL INTERMEDIATES FOR PHARMACEUTICAL APPLICATIONS,Professional SemiProfessional,ARALEZ INC,541711 - Research and Development in Biotechnology,P,2.0,Corporation,CA,0 VARIOUS,CA
,,,BL-003530,GENERAL BUILDING CONTRACTOR,Construction or Contractor,NIJAZ DIZDAREVIC,236118 - Residential Remodelers,C,0.0,Sole Ownership,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-006996,LANDSCAPING SERVICES,Business Personal Repair Svs,GREEN THUMB LANDSCAPING,561730 - Landscaping Services,B,0.0,Sole Ownership,CA,0 VARIOUS,CA
